nlist,M,nprobe,p,threads,recall,latency_us
4096,4,32,2000,4,0.923502,324.832
4096,4,32,2000,8,0.923602,759.83
4096,8,8,500,1,0.761402,298.819
4096,8,8,500,2,0.761602,248.969
4096,8,8,500,4,0.761552,230.611
4096,8,8,500,8,0.761552,376.488
4096,8,8,1000,1,0.767352,344.276
4096,8,8,1000,2,0.767352,294.335
4096,8,8,1000,4,0.767352,260.055
4096,8,8,1000,8,0.767352,288.193
4096,8,8,2000,1,0.767752,358.515
4096,8,8,2000,2,0.767752,305.679
4096,8,8,2000,4,0.767752,273.744
4096,8,8,2000,8,0.767752,408.768
4096,8,16,500,1,0.848503,335.948
4096,8,16,500,2,0.848653,271.716
4096,8,16,500,4,0.848553,284.737
4096,8,16,500,8,0.848703,380.676
4096,8,16,1000,1,0.858453,412.88
4096,8,16,1000,2,0.858453,321.572
4096,8,16,1000,4,0.858453,279.781
4096,8,16,1000,8,0.858453,519.752
4096,8,16,2000,1,0.859703,456.382
4096,8,16,2000,2,0.859703,338.857
4096,8,16,2000,4,0.859703,302.445
4096,8,16,2000,8,0.859703,454.759
4096,8,32,500,1,0.904454,388.544
4096,8,32,500,2,0.904504,352.988
4096,8,32,500,4,0.904454,295.071
4096,8,32,500,8,0.904604,1002.89
4096,8,32,1000,1,0.921153,447.172
4096,8,32,1000,2,0.921203,373.813
4096,8,32,1000,4,0.921253,321.441
4096,8,32,1000,8,0.921253,506.6
4096,8,32,2000,1,0.924453,562.474
4096,8,32,2000,2,0.924453,427.221
4096,8,32,2000,4,0.924453,361.952
4096,8,32,2000,8,0.924453,523.037
4096,16,8,500,1,0.760602,316.642
4096,16,8,500,2,0.760552,279.453
4096,16,8,500,4,0.760602,244.737
4096,16,8,500,8,0.760602,384.747
4096,16,8,1000,1,0.760802,340.617
4096,16,8,1000,2,0.760802,281.981
4096,16,8,1000,4,0.760802,273.149
4096,16,8,1000,8,0.760802,599.383
4096,16,8,2000,1,0.760802,368.821
4096,16,8,2000,2,0.760802,308.908
4096,16,8,2000,4,0.760802,274
4096,16,8,2000,8,0.760802,345.228
4096,16,16,500,1,0.859453,374.487
4096,16,16,500,2,0.859453,336.98
4096,16,16,500,4,0.859453,290.884
4096,16,16,500,8,0.859453,519.677
4096,16,16,1000,1,0.859953,425.772
4096,16,16,1000,2,0.859953,350.772
4096,16,16,1000,4,0.859953,288.962
4096,16,16,1000,8,0.859953,1954.22
4096,16,16,2000,1,0.859953,481.361
4096,16,16,2000,2,0.859953,388.565
4096,16,16,2000,4,0.859953,332.223
4096,16,16,2000,8,0.859953,492.33
4096,16,32,500,1,0.924603,426.941
4096,16,32,500,2,0.924603,375.946
4096,16,32,500,4,0.924653,318.911
4096,16,32,500,8,0.924653,410.105
4096,16,32,1000,1,0.925553,499.216
4096,16,32,1000,2,0.925503,427.78
4096,16,32,1000,4,0.925553,350.255
4096,16,32,1000,8,0.925503,551.303
4096,16,32,2000,1,0.925603,580.586
4096,16,32,2000,2,0.925553,448.599
4096,16,32,2000,4,0.925603,388.189
4096,16,32,2000,8,0.925603,934.353
